epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,39294.7,0.8785,0.93474,0.91977,0.78268,0.76657,0.84754,0.71236,0.6726,0.78105,0.86004,0.00168747,0.00056249,0.00168747,0.00056249,0.00168747,0.00056249,0.00168747,0.00056249
51,40061.1,0.87567,0.95142,0.92187,0.78754,0.77777,0.85473,0.72249,0.66799,0.77132,0.85948,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806
52,40827.3,0.87839,0.93836,0.92498,0.80489,0.76801,0.8517,0.71317,0.67381,0.76695,0.85934,0.00158137,0.000527122,0.00158137,0.000527122,0.00158137,0.000527122,0.00158137,0.000527122
53,41592.3,0.86905,0.90917,0.92005,0.78787,0.77295,0.84835,0.71502,0.66276,0.75717,0.85726,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
54,42349.9,0.87644,0.90397,0.91952,0.78058,0.7715,0.85038,0.71287,0.6691,0.76682,0.85828,0.00147526,0.000491755,0.00147526,0.000491755,0.00147526,0.000491755,0.00147526,0.000491755
55,43104.8,0.86538,0.90508,0.92069,0.78851,0.7744,0.85235,0.7169,0.66713,0.76814,0.85962,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071
56,43863.7,0.87455,0.91426,0.92016,0.78583,0.78077,0.85361,0.72097,0.6654,0.75902,0.85791,0.00136916,0.000456387,0.00136916,0.000456387,0.00136916,0.000456387,0.00136916,0.000456387
57,44611.3,0.86269,0.89859,0.91902,0.79894,0.75791,0.85257,0.71724,0.66373,0.76256,0.85742,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
58,45361.4,0.88951,0.91957,0.9269,0.79329,0.77402,0.85469,0.72238,0.66194,0.75434,0.85684,0.00126306,0.000421019,0.00126306,0.000421019,0.00126306,0.000421019,0.00126306,0.000421019
59,46122,0.87365,0.91637,0.9149,0.79338,0.76142,0.85163,0.71433,0.67453,0.76607,0.86018,0.00121001,0.000403335,0.00121001,0.000403335,0.00121001,0.000403335,0.00121001,0.000403335
60,46877.9,0.86227,0.88563,0.91615,0.79477,0.77722,0.85891,0.72343,0.66313,0.74752,0.85733,0.00115695,0.000385651,0.00115695,0.000385651,0.00115695,0.000385651,0.00115695,0.000385651
61,47622.1,0.86576,0.89005,0.91888,0.79815,0.78035,0.86001,0.72534,0.66192,0.7413,0.85698,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
62,48359.8,0.85006,0.88936,0.91672,0.80343,0.7892,0.86337,0.73102,0.65898,0.73477,0.85657,0.00105085,0.000350284,0.00105085,0.000350284,0.00105085,0.000350284,0.00105085,0.000350284
63,49096,0.8722,0.89442,0.9207,0.79641,0.78192,0.85981,0.72568,0.65543,0.73087,0.85552,0.000997799,0.0003326,0.000997799,0.0003326,0.000997799,0.0003326,0.000997799,0.0003326
64,49831.9,0.85487,0.89361,0.92343,0.79882,0.7767,0.85775,0.72309,0.65959,0.73535,0.85668,0.000944748,0.000314916,0.000944748,0.000314916,0.000944748,0.000314916,0.000944748,0.000314916
65,50569.1,0.85018,0.87145,0.91289,0.78358,0.79037,0.86025,0.7273,0.65581,0.73492,0.85545,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
66,51312.3,0.84838,0.86759,0.91117,0.7901,0.78936,0.85788,0.72694,0.6516,0.72689,0.85414,0.000838644,0.000279548,0.000838644,0.000279548,0.000838644,0.000279548,0.000838644,0.000279548
67,52051.9,0.84991,0.88095,0.92031,0.79465,0.77875,0.85882,0.72723,0.65375,0.73446,0.85534,0.000785593,0.000261864,0.000785593,0.000261864,0.000785593,0.000261864,0.000785593,0.000261864
68,52794.7,0.85056,0.87445,0.91677,0.79639,0.77621,0.859,0.72794,0.65087,0.7228,0.85474,0.000732541,0.00024418,0.000732541,0.00024418,0.000732541,0.00024418,0.000732541,0.00024418
69,53536.2,0.86571,0.88075,0.91871,0.78665,0.78158,0.85313,0.72371,0.64377,0.72677,0.85291,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
70,54281.7,0.83302,0.8727,0.91096,0.80252,0.7862,0.8678,0.7374,0.6447,0.72024,0.85266,0.000626438,0.000208813,0.000626438,0.000208813,0.000626438,0.000208813,0.000626438,0.000208813
71,55020.6,0.83491,0.89411,0.89766,0.77291,0.77451,0.84609,0.70864,0.66709,0.74662,0.85754,0.000573386,0.000191129,0.000573386,0.000191129,0.000573386,0.000191129,0.000573386,0.000191129
72,55758.1,0.82402,0.8809,0.89919,0.78767,0.78961,0.85496,0.7196,0.66056,0.7318,0.85596,0.000520335,0.000173445,0.000520335,0.000173445,0.000520335,0.000173445,0.000520335,0.000173445
73,56509.7,0.80966,0.85546,0.89491,0.78395,0.77611,0.84587,0.71121,0.66238,0.73472,0.85651,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
74,57251.1,0.83402,0.85863,0.89862,0.78931,0.78446,0.85604,0.72264,0.6563,0.72844,0.85499,0.000414231,0.000138077,0.000414231,0.000138077,0.000414231,0.000138077,0.000414231,0.000138077
75,57997.4,0.8252,0.86634,0.8971,0.78728,0.78559,0.85718,0.72262,0.66126,0.72684,0.85525,0.00036118,0.000120393,0.00036118,0.000120393,0.00036118,0.000120393,0.00036118,0.000120393
76,58740.9,0.82063,0.84242,0.89352,0.78628,0.78918,0.85708,0.72379,0.65441,0.72099,0.85422,0.000308128,0.000102709,0.000308128,0.000102709,0.000308128,0.000102709,0.000308128,0.000102709
77,59477,0.80402,0.85617,0.89267,0.79214,0.78554,0.85608,0.72447,0.65011,0.71975,0.85401,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
78,60221.7,0.81212,0.89,0.88917,0.79017,0.78886,0.85859,0.7259,0.65513,0.71507,0.85457,0.000202025,6.73416e-05,0.000202025,6.73416e-05,0.000202025,6.73416e-05,0.000202025,6.73416e-05
79,60959.9,0.81481,0.85289,0.89153,0.78488,0.77958,0.85399,0.72077,0.65531,0.72431,0.85415,0.000148973,4.96578e-05,0.000148973,4.96578e-05,0.000148973,4.96578e-05,0.000148973,4.96578e-05
80,61703.6,0.80174,0.82013,0.88692,0.79246,0.77358,0.85547,0.72236,0.65367,0.72277,0.85415,9.59216e-05,3.19739e-05,9.59216e-05,3.19739e-05,9.59216e-05,3.19739e-05,9.59216e-05,3.19739e-05
